,name,votes,place
0,Сергей Гандлевский,38,1
1,Тимур Кибиров,35,2
2,Лев Лосев,31,3
3,Дмитрий А.Пригов,28,4
4,Елена Шварц,27,5
5,Лев Рубинштейн,27,5
6,Вера Павлова,25,7
7,Дмитрий Воденников,24,8
8,Елена Фанайлова,23,9
9,Шиш Брянский,22,10
10,Виктор Соснора,20,11
11,Всеволод Некрасов,19,12
12,Иван Жданов,18,13
13,Михаил Айзенберг,17,14
14,Ольга Седакова,17,14
15,Александр Анашевич,15,16
16,Александр Еременко,15,16
17,Александр Кушнер,15,16
18,Светлана Кекова,14,19
19,Бахыт Кенжеев,14,19
20,Алексей Парщиков,14,19
21,Мария Степанова,14,19
22,Ярослав Могутин,13,23
23,Геннадий Айги,13,23
24,Владимир Гандельсман,12,25
25,Аркадий Драгомощенко,12,25
26,Станислав Львовский,11,25
27,Сергей Стратановский,12,25
28,Михаил Еремин,10,29
29,Виталий Кальпиди,9,30
30,Евгений Рейн,9,30
31,Владимир Строчков,9,30
32,Алексей Цветков,9,30
33,Олег Чухонцев,9,30
34,Николай Кононов,8,35
35,Евгения Лавут,8,35
36,Кирилл Медведев,8,35
37,Полина Барскова,7,38
38,Дмитрий Волчек,7,38
39,Псой Короленко,7,38
40,Александр Левин,7,38
41,Герман Лукомников,7,38
42,Мирослав Немиров,7,38
43,Белла Ахмадулина,6,44
44,Дмитрий Быков,6,44
45,Борис Рыжий,6,44
46,Максим Амелин,5,47
47,Борис Гребенщиков,5,47
48,Сергей Завьялов,5,47
49,Николай Звягинцев,5,47
50,Станислав Красовицкий,5,47
51,Александра Петрова,5,47
52,Игорь Померанцев,5,47
53,Земфира Рамазанова,5,47
54,Александр Скидан,5,47
55,Михаил Сухотин,5,47
56,Александр Шаталов,5,47
57,Глеб Шульпяков,5,47
58,Дмитрий Авалиани,4,59
59,Иван Ахметьев,4,59
60,Александр Бренер,4,59
61,Андрей Вознесенский,4,59
62,Юрий Кузнецов,4,59
63,Владимир Кучерявкин,4,59
64,Эдуард Лимонов,4,59
65,Инна Лиснянская,4,59
66,Мария Максимова,4,74
67,Юнна Мориц,4,59
68,Олеся Николаева,4,59
69,Михаил Нилин,4,59
70,Андрей Поляков,4,59
71,Владимир Салимон,4,59
72,Сергей Тимофеев,4,59
73,Шамшад Абдуллаев,3,74
74,Владимир Аристов,3,74
75,Леонид Виноградов,3,74
76,Анри Волохонский,3,74
77,Сергей Вольф,3,74
78,Дмитрий Голынко-Вольфсон,3,74
79,Михаил Гронас,3,74
80,Григорий Дашевский,3,74
81,Игорь Иртеньев,3,74
82,Елена Костылева,3,74
83,Григорий Кружков,3,74
84,Юрий Кублановский,3,74
85,Егор Летов,3,74
86,Игорь Меламед,3,74
87,Вадим Месяц,3,74
88,Анатолий Найман,3,74
89,Влад Нескажу,3,74
90,Иван Овчинников,3,74
91,Дмитрий Соколов,3,74
92,Василий Филиппов,3,74
93,Валерий Шубинский,3,74
94,Михаил Щербаков,3,74
95,Татьяна Щербина,3,74
96,Санджар Янышев,3,74
97,Николай Байтов,2,98
98,Иосиф Бродский,2,98
99,Владимир Бурич,2,98
100,Дмитрий Веденяпин,2,98
101,Татьяна Вольтская,2,98
102,Владлен Гаврильчик,2,98
103,Линор Горалик,2,98
104,Наталья Горбаневская,2,98
105,Юлий Гуголев,2,98
106,Валерий Дашкевич,2,98
107,Александр Денисенко,2,98
108,Всеволод Зельченко,2,98
109,Нина Искренко,2,94
110,Евгений Карасев,2,98
111,Виктор Коваль,2,98
112,Виктор Кривулин,2,98
113,Семен Липкин,2,98
114,Света Литвак,2,98
115,Ольга Мартынова,2,98
116,Лариса Миллер,2,98
117,Сергей Морейно,2,98
118,Ры Никонова,2,98
119,Олег Пащенко,2,98
120,Алексей Пурин,2,98
121,Александр Радашкевич,2,98
122,Ольга Родионова,2,98
123,Генрих Сапгир,2,98
124,Андрей Санников,2,98
125,Андрей Сен-Сеньков,2,98
126,Вадим Степанцов,2,98
127,Алексей Тимаховский,2,98
128,Алексей Шельвах,2,98
129,Эдуард Шендерович,2,98
130,Юдик Шерман,2,98
131,Аркадий Штыпель,2,98
132,Олег Юрьев,2,98
133,Александр Алейник,1,134
134,Алексей Алехин,1,134
135,Анна Альчук,1,134
136,Максим Анкудинов,1,134
137,Татьяна Бек,1,134
138,Владимир Белобров,1,134
139,Беломлинская ,1,134
140,Александр Беляков,1,134
141,Сергей Бирюков,1,134
142,Евгений Блажеевский,1,134
143,Вениамин Блаженный,1,134
144,Дмитрий Бобышев,1,134
145,Сергей Бойченко,1,134
146,Михаил Болдуман ,1,134
147,Дмитрий Болотов,1,134
148,Игорь Бурихин,1,134
149,Екатерина Бушуева,1,134
150,Наталья Ванханен,1,134
151,Константин Ваншенкин,1,134
152,Лев Васильев,1,134
153,Петр Вегин,1,134
154,Михаил Векслер,1,134
155,Кирилл Воробьев ,1,134
156,Андрей Гаврилин ,1,134
157,Юлия Генюк,1,134
158,Марина Георгадзе,1,134
159,Ренат Гильфанов,1,134
160,Анна Глазова,1,134
161,Сергей Гонцов,1,134
162,Евгений Горный,1,134
163,Фаина Гримберг,1,134
164,Владимир Губайловский,1,134
165,Игорь Давлетшин,1,134
166,Данила Давыдов,1,134
167,Евгений Даенин,1,134
168,Лев Дановский,1,134
169,Державин,1,134
170,Виталий Дмитриев,1,134
171,Вероника Долина ,1,134
172,Евгений Евтушенко,1,134
173,Всеволод Емелин,1,134
174,Ирина Ермакова,1,134
175,Заболоцкий,1,134
176,Злыдень,1,134
177,Ирина Знаменская,1,134
178,Светлана Иванова,1,134
179,Елена Игнатова,1,134
180,Александр Ильянен,1,134
181,Александр Илюшин ,1,134
182,Дмитрий Ицкович,1,134
183,Инна Кабыш,1,134
184,Юрий Казарин,1,134
185,Игорь Караулов,1,134
186,Ирина Карпинская,1,134
187,Б.У.Кашкин,1,134
188,Михаил Книжник,1,134
189,Илья Кормильцев,1,134
190,Алексей Королев,1,134
191,Алексей Кортнев,1,134
192,Борис Кочейшвили,1,134
193,Элла Крылова,1,134
194,Алексей Кубрик,1,134
195,Марина Кудимова,1,134
196,Ольга Кузнецова,1,134
197,Виктор Куллэ,1,134
198,Илья Кутик,1,134
199,Александр Куляхтин,1,134
200,Лабас,1,134
201,Слава Лен,1,134
202,Владимир Леонович,1,134
203,Эдуард Литомин ,1,134
204,Светлана Максимова,1,134
205,Петр Мамонов,1,134
206,Ирина Машинская,1,134
207,Андрей Машнин ,1,134
208,Маяковский,1,134
209,Александр Медведев,1,134
210,Александр Межиров,1,134
211,Филипп Минлос,1,134
212,Александр Миронов,1,134
213,Андрей Монастырский,1,134
214,Вадим Муратханов,1,134
215,Денис Новиков,1,134
216,Дмитрий Озерский ,1,134
217,Олейников,1,134
218,Евгений Осташевский ,1,134
219,Сергей Панов (г. Луганск) ,1,134
220,Пастернак,1,134
221,Рамон Перец,1,134
222,Ф.Пиздорвацман (Бологое) ,1,134
223,Алексей Плуцер ,1,134
224,Елена Полецкая,1,134
225,Дмитрий Полищук,1,134
226,Слава Полищук ,1,134
227,Вячеслав Попов,1,134
228,Ольга Постникова,1,134
229,Алексей Прокопьев,1,134
230,Виталий Пуханов,1,134
231,Пушкин,1,134
232,Александр Пушкин,1,134
233,Маргарита Пушкина,1,134
234,Александр Радковский ,1,134
235,Эвелина Ракитская,1,134
236,Арие Ротман,1,134
237,Юрий Ряшенцев,1,134
238,Евгений Сабуров,1,134
239,Дмитрий Савицкий,1,134
240,Михаил Сазонов,1,134
241,Сергей Самойленко,1,134
242,Виктор Санчук,1,134
243,Сап-Са-Дэ,1,134
244,Леша Сарно ,1,134
245,Сатуновский,1,134
246,Сергей Сигей,1,134
247,Петр Смирнов ,1,134
248,Сергей Соколовский ,1,134
249,Сергей Соловьев,1,134
250,Александр Сорока,1,134
251,Дмитрий Сухарев,1,134
252,Дарья Суховей,1,134
253,Марина Темкина ,1,134
254,Елена Тиновская,1,134
255,Дмитрий Тонконогов,1,134
256,Иван Трофимов,1,134
257,Андрей Туркин,1,134
258,Виталина Тхоржевская,1,134
259,Тютчев,1,134
260,Борис Усов ,1,134
261,Владимир Уфлянд,1,134
262,Михаил Файнерман,1,134
263,Сергей Федин,1,134
264,Алексей Фомин ,1,134
265,Хармс,1,134
266,Алексей Хвостенко,1,134
267,Борис Херсонский,1,134
268,Екатерина Ходок ,1,134
269,Глеб Цвель,1,134
270,Алексей Цветков (мл.),1,134
271,Юля Чичерина,1,134
