author,popularity
"Есенин, Сергей Александрович",39.0
"Маяковский, Владимир Владимирович",27
"Высоцкий, Владимир Семёнович",26
"Ахматова, Анна Андреевна",23
"Цветаева, Марина Ивановна",19
"Блок, Александр Александрович",18
"Окуджава, Булат Шалвович",15
"Маршак, Самуил Яковлевич",14
"Евтушенко, Евгений Александрович",13
"Рождественский, Роберт Иванович",13
"Чуковский, Корней Иванович",12
"Твардовский, Александр Трифонович",11
"Ахмадулина, Белла Ахатовна",10
"Барто, Агния Львовна",10
"Михалков, Сергей Владимирович",10
"Пастернак, Борис Леонидович",9
"Вознесенский, Андрей Андреевич",7
"Гамзатов, Расул_Гамзатович",6
"Танич, Михаил Исаевич",6
"Гумилёв, Николай Степанович",5
"Мандельштам, Осип Эмильевич",4
"Галич, Александр Аркадьевич",4
"Бродский, Иосиф Александрович",4
"Дементьев, Андрей Дмитриевич",3
"Асадов, Эдуард Аркадьевич",3
