,pageid,ns,por_pageid,por_ns,rwp_pageid,rwp_ns
Проект:Литература/Списки/Русские поэты Украины,89076.0,104.0,,,,
Проект:Литература/Списки/Русские поэты XIX века,87816.0,104.0,,,,
Поэтессы Серебряного века,4692805.0,0.0,,,,
Русские поэты Серебряного века,87820.0,0.0,,,,
Русские поэты-футуристы,89092.0,0.0,,,,
"Абдуллаев, Евгений Викторович",1041399.0,0.0,,,,
"Абдуллаев, Шамшад Маджитович",68329.0,0.0,,,,
"Абрамов, Николай Викторович",70501.0,0.0,,,,
"Абрамович, Владимир Яковлевич",690833.0,0.0,,,,
"Абрамович, Михаил Соломонович",3721018.0,0.0,,,,
"Авалиани, Дмитрий Евгеньевич",70054.0,0.0,,,,
"Аванесов, Александр Аршавирович",7874350.0,0.0,7874350.0,0.0,,
"Авдонин, Александр Николаевич (поэт)",6421876.0,0.0,6421876.0,0.0,,
"Авраменко, Илья Корнильевич",4305174.0,0.0,,,,
"Аврутин, Анатолий Юрьевич",777220.0,0.0,,,,
"Аврущенко, Владимир Израилевич",3250560.0,0.0,,,,
"Агапов, Виктор Данилович",1776107.0,0.0,,,,
"Агатов, Владимир Гариевич",3696941.0,0.0,,,,
"Агашина, Маргарита Константиновна",1584087.0,0.0,,,1584087.0,0.0
"Агеев, Леонид Мартемьянович",2793388.0,0.0,,,,
"Агейкин, Григорий Петрович",6899463.0,0.0,6899463.0,0.0,,
"Агол, Вадим Израилевич",4783018.0,0.0,4783018.0,0.0,,
"Адалис, Аделина Ефимовна",154504.0,0.0,,,,
"Адикаевский, Василий Васильевич",233358.0,0.0,,,,
"Адмони, Владимир Григорьевич",379242.0,0.0,,,,
"Адуев, Николай Альфредович",30798.0,0.0,30798.0,0.0,,
"Азарова, Наталия Михайловна",4043156.0,0.0,,,4043156.0,0.0
"Айвазян, Галина Николаевна",6853362.0,0.0,,,6853362.0,0.0
"Айги, Геннадий Николаевич",68417.0,0.0,68417.0,0.0,,
"Айдинян, Станислав Артурович",2221727.0,0.0,,,,
"Айзенберг, Михаил Натанович",68419.0,0.0,,,,
"Айзеншарф, Алла Наумовна",5363343.0,0.0,,,,
"Айзенштадт-Железнов, Михаил Константинович",2342084.0,0.0,,,,
"Айткалиев, Равиль Анзерович",1537478.0,0.0,,,,
"Аким, Яков Лазаревич",881394.0,0.0,881394.0,0.0,,
"Аксаков, Константин Сергеевич",135409.0,0.0,,,,
"Аксельрод, Елена Мееровна",86381.0,0.0,,,,
"Аксельрод, Николай Ильич",4144086.0,0.0,,,,
"Аксёнова-Штейнгруд, Светлана Александровна",944252.0,0.0,,,,
"Аксёнова, Мария Дмитриевна",3877888.0,0.0,,,,
"Акулова, Валерия Константиновна",5513006.0,0.0,,,5513006.0,0.0
"Алдан-Семёнов, Андрей Игнатьевич",609219.0,0.0,609219.0,0.0,,
"Алейников, Владимир Дмитриевич",1450582.0,0.0,,,,
"Александров, Матвей Алексеевич",3946427.0,0.0,,,,
"Александровский, Василий Дмитриевич",1450609.0,0.0,1450609.0,0.0,,
"Александровский, Сергей Анатольевич",1622597.0,0.0,,,,
"Алексеев, Геннадий Иванович",347242.0,0.0,,,,
"Алексеев, Никандр Алексеевич",2849285.0,0.0,2849285.0,0.0,,
"Алексеев, Юрий Васильевич (поэт)",6463420.0,0.0,6463420.0,0.0,,
Алексий (Макринов),5325765.0,0.0,5325765.0,0.0,,
"Алёхин, Алексей Давидович",88888.0,0.0,88888.0,0.0,,
"Алешковский, Юз",382395.0,0.0,,,,
"Алигер, Маргарита Иосифовна",425155.0,0.0,,,,
"Алон, Александр",341003.0,0.0,,,,
"Алтаузен, Джек",3623560.0,0.0,,,,
"Алфеева, Валерия Анатольевна",634978.0,0.0,,,,
"Альвек, Иосиф Соломонович",1029120.0,0.0,,,,
"Альтшулер, Александр Борисович",971060.0,0.0,,,,
"Альчук, Анна Александровна",1270203.0,0.0,,,,
"Амелин, Максим Альбертович",1341325.0,0.0,,,,
"Амурский, Виталий Ильич",1107667.0,0.0,,,,
"Ананиашвили, Элизбар Георгиевич",4418647.0,0.0,,,,
"Анастасевич, Василий Григорьевич",1545938.0,0.0,,,,
"Андерсен, Лариса Николаевна",830138.0,0.0,,,,
"Андерсон, Владимир Александрович",7272985.0,0.0,,,,
"Андреев, Александр Николаевич (поэт)",2792294.0,0.0,,,,
"Андреев, Алексей Валерьевич",4683265.0,0.0,4683265.0,0.0,,
"Андреев, Вадим Леонидович",721327.0,0.0,,,,
"Андреев, Даниил Леонидович",41427.0,0.0,,,,
"Андреева, Виктория Алексеевна",1644840.0,0.0,,,1644840.0,0.0
"Андреева, Галина Петровна",93404.0,0.0,,,93404.0,0.0
"Андреевский, Сергей Аркадьевич",1973641.0,0.0,,,,
"Андрусон, Леонид Иванович",1681000.0,0.0,,,,
"Аникеев, Евгений Иванович",5296814.0,0.0,,,,
"Анисимова, Домна Анисимовна",2908490.0,0.0,,,,
"Анищенко, Михаил Всеволодович",7284805.0,0.0,7284805.0,0.0,,
"Анкудинов, Максим Арикович",88458.0,0.0,88458.0,0.0,,
"Анкудинов, Тимофей Дементьевич",61832.0,0.0,,,,
"Анненков, Николай Епафродитович",179673.0,0.0,,,,
"Анненков, Николай Николаевич",179745.0,0.0,,,,
"Анненкова, Варвара Николаевна",2918209.0,0.0,,,,
"Антипов, Константин Михайлович",7970990.0,0.0,,,,
"Антокольский, Павел Григорьевич",258555.0,0.0,,,,
Антоний Касимов,4706404.0,0.0,,,,
"Ануфриева, Наталия Даниловна",4187975.0,0.0,,,,
"Анфилов, Глеб Иосафович",3810971.0,0.0,,,,
"Апраксина, Татьяна Игоревна",2481357.0,0.0,,,,
"Апухтин, Алексей Николаевич",84310.0,0.0,,,,
"Арабов, Юрий Николаевич",288418.0,0.0,,,,
"Арапов, Александр Васильевич",5074622.0,0.0,,,,
"Арбенин, Константин Юрьевич",271139.0,0.0,271139.0,0.0,,
"Арго, Абрам Маркович",2568285.0,0.0,,,,
"Аргутина, Ирина Марковна",5105248.0,0.0,5105248.0,0.0,,
"Аренс, Лев Евгеньевич",2416554.0,0.0,,,,
"Аристов, Владимир Владимирович",70298.0,0.0,,,,
"Аришина, Наталья Сергеевна",1463438.0,0.0,,,1463438.0,0.0
"Армалинский, Михаил",139819.0,0.0,,,,
"Аронзон, Леонид Львович",789899.0,0.0,,,,
"Аронов, Александр Яковлевич",1573953.0,0.0,,,,
"Артамонов, Михаил Дмитриевич (поэт)",7974407.0,0.0,7974407.0,0.0,,
"Артёмов, Владислав Владимирович",4169449.0,0.0,4169449.0,0.0,,
"Арустамов, Юрий Арменакович",1105676.0,0.0,,,,
"Арутюнов, Сергей Сергеевич",1674463.0,0.0,,,,
"Арутюнова, Каринэ Вячеславовна",6544409.0,0.0,,,,
"Архангельский, Александр Григорьевич",801499.0,0.0,801499.0,0.0,,
"Архипкин, Борис Михайлович",4550126.0,0.0,4550126.0,0.0,,
"Архипов, Владимир Афанасьевич",916277.0,0.0,916277.0,0.0,,
"Архипцев, Борис Владимирович",4532569.0,0.0,4532569.0,0.0,,
"Асадов, Эдуард Аркадьевич",45877.0,0.0,,,,
"Асиновский, Олег Эдуардович",1610142.0,0.0,1610142.0,0.0,,
"Асланьян, Юрий Иванович",6105130.0,0.0,6105130.0,0.0,,
"Асовский, Виталий Александрович",1864660.0,0.0,,,,
