pageid,ns,title
5735959,0,"Абдулаев, Леча Шарипович"
3947572,0,Абдулкадир Инан
5066268,0,"Абитов, Владимир Кадырович"
8426220,0,"Абитов, Хизир Яхьяевич"
988819,0,"Абрамов, Анатолий Михайлович"
343484,0,"Абряров, Шамиль Мухтасибович"
7874350,0,"Аванесов, Александр Аршавирович"
4280361,0,"Аванесов, Сергей Сергеевич"
3864858,0,"Авдеев, Валерий Николаевич"
6849340,0,"Авдеев, Виктор Иванович"
8805488,0,"Авдеев, Юрий Дмитриевич"
6421876,0,"Авдонин, Александр Николаевич (поэт)"
7060848,0,"Агададашев, Агакерим Ибрагимович"
30535,0,"Агапов, Борис Николаевич (писатель)"
2887505,0,"Агеев, Александр Леонидович"
4783018,0,"Агол, Вадим Израилевич"
250048,0,"Агутин, Леонид Николаевич"
79470,0,"Аделунг, Юрий Николаевич"
7799730,0,"Аджиев, Багаутдин Анварович"
7926256,0,"Адрианов, Юрий Андреевич"
30798,0,"Адуев, Николай Альфредович"
8634019,0,"Азов, Марк Яковлевич"
6111797,0,"Айбулат, Константин Михайлович"
68417,0,"Айги, Геннадий Николаевич"
636994,0,"Айдамиров, Абузар Абдулхакимович"
881394,0,"Аким, Яков Лазаревич"
4593193,0,Акрам Вали
3796526,0,"Аксёнов, Михаил Васильевич"
7892770,0,"Алатырцев, Владимир Иванович"
609219,0,"Алдан-Семёнов, Андрей Игнатьевич"
1822496,0,"Александров, Илья Анатольевич"
1450609,0,"Александровский, Василий Дмитриевич"
2476974,0,"Алексеев, Игорь Владимирович"
2849285,0,"Алексеев, Никандр Алексеевич"
6463420,0,"Алексеев, Юрий Васильевич (поэт)"
5325765,0,Алексий (Макринов)
88888,0,"Алёхин, Алексей Давидович"
8057737,0,"Алёшин, Николай Фёдорович"
4669914,0,"Алиханов, Сергей Иванович"
5394555,0,"Алфёрова, Татьяна Георгиевна"
6529409,0,"Аль, Маргарита"
7185756,0,"Анашкин, Александр Алексеевич"
4683265,0,"Андреев, Алексей Валерьевич"
395271,0,"Андреев, Виктор Николаевич (переводчик)"
89048,0,"Андреев, Михаил Васильевич"
1887699,0,"Андреева, Юлия Игоревна"
2266899,0,"Андрухаев, Хусен Борежевич"
6582931,0,"Аникина, Ольга Николаевна"
7284805,0,"Анищенко, Михаил Всеволодович"
3250408,0,"Анко, Юрий Михайлович"
88458,0,"Анкудинов, Максим Арикович"
6953929,0,"Ансимов, Анатолий Дмитриевич"
3610529,0,Антал Гидаш
8688857,0,"Антипов, Александр Павлович"
5070036,0,"Антипов, Евгений Игоревич"
7449363,0,"Антонов, Алексей Константинович (писатель)"
527081,0,"Антонов, Юрий Михайлович"
3558643,0,"Антонова, Александра Андреевна"
36667,0,"Анчаров, Михаил Леонидович"
7176104,0,"Апенченко, Юрий Сергеевич"
593437,0,"Апина, Алёна"
8688173,0,"Аппаев, Билял Добаевич"
7870267,0,"Ар-Серги, Вячеслав"
4407730,0,"Арапчор, Алексей Дугерович"
271139,0,"Арбенин, Константин Юрьевич"
5105248,0,"Аргутина, Ирина Марковна"
182546,0,"Арканов, Аркадий Михайлович"
7109291,0,"Аркатова, Анна"
5236388,0,"Арнольд, Николай Владимирович"
4342571,0,"Арсанукаев, Шайхи Абдулмуслимович"
183524,0,"Арсеньев, Николай Сергеевич (философ)"
4251084,0,"Арсеньев, Павел Арсеньевич"
4158982,0,"Арский, Павел Александрович"
7974407,0,"Артамонов, Михаил Дмитриевич (поэт)"
4169449,0,"Артёмов, Владислав Владимирович"
970182,0,"Артемьев, Александр Спиридонович"
801499,0,"Архангельский, Александр Григорьевич"
4550126,0,"Архипкин, Борис Михайлович"
916277,0,"Архипов, Владимир Афанасьевич"
4532569,0,"Архипцев, Борис Владимирович"
1610142,0,"Асиновский, Олег Эдуардович"
6105130,0,"Асланьян, Юрий Иванович"
1675784,0,"Асмолов, Владимир Павлович"
4112799,0,"Астахов, Георгий Александрович"
8438800,0,"Астрецова, Светлана Константиновна"
2250816,0,"Ахмат-Хужа, Асхаль"
3684297,0,"Атнабаев, Ангам Касимович"
4413373,0,"Атнилов, Даниил Атнилович"
7236716,0,"Атянин, Фёдор Семёнович"
