,title,monthly_average
1,"Пушкин, Александр Сергеевич",197433
2,"Есенин, Сергей Александрович",116759
3,"Высоцкий, Владимир Семёнович",111227
4,"Лермонтов, Михаил Юрьевич",109141
5,"Ломоносов, Михаил Васильевич",90786
6,"Безруков, Сергей Витальевич",86978
7,"Маяковский, Владимир Владимирович",77818
8,"Шнуров, Сергей Владимирович",74394
9,Максим Горький,68967
10,"Ахматова, Анна Андреевна",59333
11,"Тургенев, Иван Сергеевич",58952
12,"Летов, Егор",58816
13,"Цветаева, Марина Ивановна",57668
14,"Круг, Михаил Владимирович",56735
15,"Солженицын, Александр Исаевич",56426
16,"Бродский, Иосиф Александрович",55312
17,"Леонтьев, Валерий Яковлевич",51926
18,"Блок, Александр Александрович",50889
19,"Рязанов, Эльдар Александрович",47660
20,"Пастернак, Борис Леонидович",46864
21,"Джигурда, Никита Борисович",44535
22,"Басков, Николай Викторович",42445
23,"Гафт, Валентин Иосифович",42188
24,"Некрасов, Николай Алексеевич",42186
25,"Евтушенко, Евгений Александрович",38773
26,"Тютчев, Фёдор Иванович",36788
27,"Лещенко, Лев Валерьянович",36627
28,"Юрский, Сергей Юрьевич",36000
29,"Варлей, Наталья Владимировна",34777
30,"Николаев, Игорь Юрьевич",34354
31,"Макаревич, Андрей Вадимович",34247
32,"Гумилёв, Николай Степанович",34239
33,"Лимонов, Эдуард Вениаминович",33578
34,"Агутин, Леонид Николаевич",33363
35,"Грибоедов, Александр Сергеевич",33134
36,"Толстой, Алексей Николаевич",32266
37,"Богомолов, Константин Юрьевич",31938
38,"Арбенина, Диана Сергеевна",31639
39,"Михалков, Сергей Владимирович",30437
40,"Самойлова, Юлия Олеговна",29934
41,"Антонов, Юрий Михайлович",29848
42,"Набоков, Владимир Владимирович",29232
43,"Розенбаум, Александр Яковлевич",28908
44,"Окуджава, Булат Шалвович",28146
45,"Быков, Дмитрий Львович",27816
46,"Чуковский, Корней Иванович",27803
47,"Фет, Афанасий Афанасьевич",27439
48,"Шевчук, Юрий Юлианович",27119
49,"Сорин, Игорь Владимирович",26810
50,"Гребенщиков, Борис Борисович",26643
51,"Мандельштам, Осип Эмильевич",26242
52,"Ахмадулина, Белла Ахатовна",25444
53,"Карамзин, Николай Михайлович",25381
54,"Улюкаев, Алексей Валентинович",25315
55,"Сафонов, Кирилл Леонович",25215
56,"Барецкий, Станислав Валерьевич",24884
57,"Симонов, Константин Михайлович",24689
58,"Успенский, Эдуард Николаевич",23676
59,"Степаненко, Елена Григорьевна",23478
60,"Твардовский, Александр Трифонович",23081
61,"Токарев, Вилли Иванович",23003
62,"Пьеха, Станислав Пятрасович",22779
63,"Филатов, Леонид Алексеевич",22525
64,"Панайотов, Александр Сергеевич",22390
65,"Маршак, Самуил Яковлевич",22330
66,"Державин, Гавриил Романович",21549
67,"Жигунов, Сергей Викторович",21527
68,Джуна,21464
69,"Башлачёв, Александр Николаевич",20694
70,"Ройзман, Евгений Вадимович",20504
71,"Рерих, Николай Константинович",20432
72,Лёва Би-2,20381
73,"Лагутенко, Илья Игоревич",20181
74,Дельфин (музыкант),20140
75,"Рождественский, Роберт Иванович",20129
76,"Панкратов-Чёрный, Александр Васильевич",19879
77,"Михайлов, Станислав Владимирович",18771
78,"Наговицын, Сергей Борисович",18769
79,"Насыров, Мурат Исмаилович",18517
80,"Польна, Ева Леонидовна",18513
81,Салават Юлаев,18276
82,"Дягилева, Янка",18008
83,"Кельми, Крис",17869
84,"Барто, Агния Львовна",17759
85,"Хармс, Даниил Иванович",17708
86,"Зверева, Карина Юрьевна",17668
87,"Стоянов, Юрий Николаевич",17591
88,"Вертинский, Александр Николаевич",17443
89,"Новиков, Александр Васильевич (певец)",16937
90,"Толстой, Алексей Константинович",16368
91,"Шаламов, Варлам Тихонович",16117
92,"Мамонов, Пётр Николаевич",15965
93,"Асадов, Эдуард Аркадьевич",15903
94,"Майданов, Денис Васильевич",15050
95,"Новодворская, Валерия Ильинична",14998
96,"Бальмонт, Константин Дмитриевич",14966
97,"Вознесенский, Андрей Андреевич",14541
98,"Рубцов, Николай Михайлович",13914
99,"Самойлов, Глеб Рудольфович",13820
100,"Апина, Алёна",13809
101,"Радищев, Александр Николаевич",13757
102,"Фонвизин, Денис Иванович",13737
103,"Самойлов, Вадим Рудольфович",13504
104,"Танич, Михаил Исаевич",13432
105,"Газманов, Родион Олегович",13128
106,"Резник, Илья Рахмиэлевич",12859
107,"Васильев, Александр Георгиевич",12305
108,"Борщёва, Елена Сергеевна",12241
109,"Ветров, Геннадий Анатольевич",11962
110,"Давыдов, Денис Васильевич",11891
111,"Рылеев, Кондратий Фёдорович",11803
112,"Чичерина, Юлия Дмитриевна",11736
113,"Соловьёв, Владимир Сергеевич",11551
114,"Заболоцкий, Николай Алексеевич",11475
115,"Науменко, Майк",11292
116,Русские поэты Серебряного века,11154
117,"Семёнов, Юлиан Семёнович",11072
118,"Ковалёв, Андрей Аркадьевич",11066
119,"Полозкова, Вера Николаевна",10776
120,"Катаев, Валентин Петрович",10621
121,"Галич, Александр Аркадьевич",10541
122,"Сковорода, Григорий Саввич",10480
123,"Снежина, Татьяна Валерьевна",10314
124,"Хлебников, Велимир",10308
125,"Свиридова, Алёна Валентиновна",10220
126,"Рыбин, Виктор Викторович",10113
127,"Князев, Андрей Сергеевич",9923
128,"Кучин, Иван Леонидович",9899
129,"Сулейменов, Олжас Омарович",9892
130,Mr. Credo,9840
131,"Шпаликов, Геннадий Фёдорович",9711
132,"Сибагатуллина, Полина Рашитовна",9667
133,"Кончаловская, Наталья Петровна",9427
134,"Тукай, Габдулла",9423
135,"Маховиков, Сергей Анатольевич",9333
136,"Ножкин, Михаил Иванович",9235
137,Саша Чёрный,9112
138,"Мережковский, Дмитрий Сергеевич",8980
139,"Лёвкин, Владимир Александрович",8937
140,"Борзов, Найк Владимирович",8761
141,"Ершов, Пётр Павлович",8755
142,"Шагин, Антон Александрович",8599
143,"Губерман, Игорь Миронович",8552
144,"Агурбаш, Анжелика Анатольевна",8537
145,"Кормильцев, Илья Валерьевич",8449
146,Козьма Прутков,8277
147,"Баратынский, Евгений Абрамович",8150
148,"Волошин, Максимилиан Александрович",8090
149,"Михальчик, Юлия Сергеевна",8089
150,"Рубальская, Лариса Алексеевна",8064
151,"Цой, Анита Сергеевна",8046
152,"Чиграков, Сергей Николаевич",7797
153,"Саруханов, Игорь Арменович",7717
154,"Петрушевская, Людмила Стефановна",7663
155,"Турбина, Ника Георгиевна",7546
156,"Иванов, Александр Юльевич",7523
157,"Друнина, Юлия Владимировна",7486
158,"Тимирёва, Анна Васильевна",7432
159,Доминик Джокер,7335
160,"Дементьев, Андрей Дмитриевич",7311
161,"Резников, Виктор Михайлович",6951
162,Юта (певица),6907
163,"Эфрон, Ариадна Сергеевна",6721
164,"Покровский, Максим Сергеевич",6591
165,"Растеряев, Игорь Вячеславович",6554
166,"Васильев, Владимир Викторович",6524
167,"Мориц, Юнна Петровна",6506
168,"Эренбург, Илья Григорьевич",6469
169,"Энтин, Юрий Сергеевич",6439
170,"Рыжий, Борис Борисович",6186
171,"Гаркуша, Олег Алексеевич",6154
172,"Арканов, Аркадий Михайлович",6142
173,"Гоман, Алексей Владимирович",6027
174,"Заходер, Борис Владимирович",6026
175,"Гиляровский, Владимир Алексеевич",5914
176,"Пушкина, Маргарита Анатольевна",5889
177,"Макаров, Валерий Аркадьевич",5859
178,Константин Константинович,5851
179,"Ким, Юлий Черсанович",5848
180,"Никитин, Иван Саввич",5844
181,"Сумароков, Александр Петрович",5836
182,"Батюшков, Константин Николаевич",5813
183,Симеон Полоцкий,5742
184,"Микульчина, Анастасия Александровна",5718
185,"Новикова, Ксения Андреевна",5670
186,"Ручка, Надежда Александровна",5668
187,Веня Д’ркин,5415
188,Русские поэты-футуристы,5348
189,"Тарковский, Арсений Александрович",5327
190,"Кашин, Павел Петрович",5255
191,"Белянин, Андрей Олегович",5245
192,"Иванов, Александр Владиславович",5244
193,"Вяземский, Пётр Андреевич",5205
194,"Иванов, Александр Александрович (поэт)",5179
195,"Астахова, Ах",5029
196,"Северянин, Игорь",5015
197,"Коваль, Юрий Иосифович",5015
198,"Городницкий, Александр Моисеевич",4999
199,"Медведева, Наталия Георгиевна",4986
200,"Шахрин, Владимир Владимирович",4978
201,"Захарова, Юлия Сергеевна",4972
202,"Сологуб, Фёдор Кузьмич",4943
203,"Макаревич, Алексей Лазаревич",4869
204,"Лукьянов, Анатолий Иванович",4804
205,"Дельвиг, Антон Антонович",4801
206,"Мариенгоф, Анатолий Борисович",4800
207,"Поляков, Юрий Михайлович",4736
208,"Михалков, Михаил Владимирович",4701
209,"Романов, Алексей Дмитриевич",4648
210,"Исаковский, Михаил Васильевич",4631
211,"Дроздов, Сергей Александрович",4581
212,"Плещеев, Алексей Николаевич",4574
213,"Троицкий, Сергей Евгеньевич",4570
214,"Королёв, Виктор Иванович",4531
215,"Гаджикасимов, Онегин Юсиф оглы",4516
216,"Есенин-Вольпин, Александр Сергеевич",4508
217,"Разина, Светлана Альбертовна",4479
218,"Дербенёв, Леонид Петрович",4434
219,"Тушнова, Вероника Михайловна",4406
220,"Галанин, Сергей Юрьевич",4388
221,Профессор Лебединский,4364
222,"Макарова, Мария Владимировна",4351
223,"Клюев, Николай Алексеевич",4239
224,"Кантемир, Антиох Дмитриевич",4177
225,Феофан (Прокопович),4078
226,"Рейснер, Лариса Михайловна",4071
227,"Петкун, Вячеслав Борисович",4006
228,"Жаботинский, Владимир Евгеньевич",3985
229,"Якушева, Ада",3980
230,"Измайлов, Лион Моисеевич",3914
231,"Филимонов, Дмитрий Фёдорович",3880
232,"Введенский, Александр Иванович (поэт)",3863
233,"Чуковская, Лидия Корнеевна",3861
234,"Кузмин, Михаил Алексеевич",3841
235,"Андреев, Даниил Леонидович",3827
236,"Мерабова, Мариам Ониковна",3825
