pageid,ns,title
89076,104,Проект:Литература/Списки/Русские поэты Украины
87816,104,Проект:Литература/Списки/Русские поэты XIX века
4692805,0,Поэтессы Серебряного века
87820,0,Русские поэты Серебряного века
89092,0,Русские поэты-футуристы
1041399,0,"Абдуллаев, Евгений Викторович"
68329,0,"Абдуллаев, Шамшад Маджитович"
70501,0,"Абрамов, Николай Викторович"
690833,0,"Абрамович, Владимир Яковлевич"
3721018,0,"Абрамович, Михаил Соломонович"
70054,0,"Авалиани, Дмитрий Евгеньевич"
7874350,0,"Аванесов, Александр Аршавирович"
6421876,0,"Авдонин, Александр Николаевич (поэт)"
4305174,0,"Авраменко, Илья Корнильевич"
777220,0,"Аврутин, Анатолий Юрьевич"
3250560,0,"Аврущенко, Владимир Израилевич"
1776107,0,"Агапов, Виктор Данилович"
3696941,0,"Агатов, Владимир Гариевич"
1584087,0,"Агашина, Маргарита Константиновна"
2793388,0,"Агеев, Леонид Мартемьянович"
6899463,0,"Агейкин, Григорий Петрович"
4783018,0,"Агол, Вадим Израилевич"
154504,0,"Адалис, Аделина Ефимовна"
233358,0,"Адикаевский, Василий Васильевич"
379242,0,"Адмони, Владимир Григорьевич"
30798,0,"Адуев, Николай Альфредович"
4043156,0,"Азарова, Наталия Михайловна"
6853362,0,"Айвазян, Галина Николаевна"
68417,0,"Айги, Геннадий Николаевич"
2221727,0,"Айдинян, Станислав Артурович"
68419,0,"Айзенберг, Михаил Натанович"
5363343,0,"Айзеншарф, Алла Наумовна"
2342084,0,"Айзенштадт-Железнов, Михаил Константинович"
1537478,0,"Айткалиев, Равиль Анзерович"
881394,0,"Аким, Яков Лазаревич"
135409,0,"Аксаков, Константин Сергеевич"
86381,0,"Аксельрод, Елена Мееровна"
4144086,0,"Аксельрод, Николай Ильич"
944252,0,"Аксёнова-Штейнгруд, Светлана Александровна"
3877888,0,"Аксёнова, Мария Дмитриевна"
5513006,0,"Акулова, Валерия Константиновна"
609219,0,"Алдан-Семёнов, Андрей Игнатьевич"
1450582,0,"Алейников, Владимир Дмитриевич"
3946427,0,"Александров, Матвей Алексеевич"
1450609,0,"Александровский, Василий Дмитриевич"
1622597,0,"Александровский, Сергей Анатольевич"
347242,0,"Алексеев, Геннадий Иванович"
2849285,0,"Алексеев, Никандр Алексеевич"
6463420,0,"Алексеев, Юрий Васильевич (поэт)"
5325765,0,Алексий (Макринов)
88888,0,"Алёхин, Алексей Давидович"
382395,0,"Алешковский, Юз"
