pageid,ns,title
1584087,0,"Агашина, Маргарита Константиновна"
2190621,0,"Агурбаш, Анжелика Анатольевна"
4043156,0,"Азарова, Наталия Михайловна"
6853362,0,"Айвазян, Галина Николаевна"
5513006,0,"Акулова, Валерия Константиновна"
4042619,0,"Алёхина, Мария Владимировна"
5394555,0,"Алфёрова, Татьяна Георгиевна"
1644840,0,"Андреева, Виктория Алексеевна"
93404,0,"Андреева, Галина Петровна"
8809254,0,"Андреева, Любовь Харитоновна"
8865400,0,"Андриуц, Валентина Григорьевна"
161957,0,"Арбенина, Диана Сергеевна"
1291573,0,"Аренс, Вера Евгеньевна"
95698,0,"Арефьева, Ольга Викторовна"
1463438,0,"Аришина, Наталья Сергеевна"
756829,0,"Астафьева, Наталья Георгиевна"
45868,0,"Ахмадулина, Белла Ахатовна"
7241862,0,"Ахметкужина, Гульшат Файзильгаяновна"
3896164,0,"Балкарова, Фоусат Гузеровна"
7192914,0,"Балыко, Диана Владимировна"
160768,0,"Баринова, Елена Викторовна"
6371534,0,"Басилова, Елена Николаевна"
4401576,0,"Бердяева, Лидия Юдифовна"
816161,0,"Бешенковская, Ольга Юрьевна"
481746,0,"Богданова-Бельская, Паллада Олимповна"
156602,0,"Болтянская, Нателла Савельевна"
7250909,0,"Борисова, Майя Ивановна"
5080114,0,"Борщёва, Елена Сергеевна"
3768049,0,"Булич, Вера Сергеевна"
7182804,0,"Бурцева, Людмила Георгиевна"
5490126,0,"Бусыгина, Наталья Михайловна"
1963224,0,"Бутягина, Варвара Александровна"
196315,0,"Варлей, Наталья Владимировна"
8422704,0,"Василенко, Светлана Владимировна"
4992699,0,"Вахитова, Альфинур Зариповна"
8810200,0,"Ващенко, Ксения Андреевна"
1847933,0,"Вега, Мария"
7532670,0,"Вельяшева-Волынцева, Анна Ивановна"
3564844,0,"Вермишева, Сэда Константиновна"
4451737,0,"Ветрова, Светлана Михайловна"
6615502,0,"Вечорка, Татьяна"
2750831,0,"Виноградова, Лилия Игоревна"
241801,0,"Витухновская, Алина Александровна"
507691,0,Ада Владимирова
5506055,0,"Владимирова, Елена Львовна"
